"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"ml:Trained_Machine_Learning_Model:2 ml:trained_model_performance:1     ","Attribute","trained_model_performance","n/a","ml","The trained_model_performance attribute reports the score obtained by the model using trained_model_metric.","img","ASCII_Real","1","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"ml:Machine_Learning_Algorithm:1    ","Class","Machine_Learning_Algorithm","1.0.0.0","ml","The Machine_Learning_Algorithm class is a container for classes and and attributes describing the algorithm type and learning style used.","img","","","","","","","","","","",""
"ml:Machine_Learning_Algorithm:2     ml:algorithm_learning_style:1      ","Attribute","algorithm_learning_style","n/a","ml","The algorithm_learning_style attribute describes the type of learning style adopted by the algorithm to model a problem.","img","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"ml:Machine_Learning_Algorithm:2     ml:algorithm_learning_style:2       Value:Semisupervised_Learn","Value","Semisupervised_Learning","","","Both labeled data and a large amount of unlabeled data have been used during training."
"ml:Machine_Learning_Algorithm:2     ml:algorithm_learning_style:2       Value:Supervised_Learning","Value","Supervised_Learning","","","Supervised_Learning indicates that labeled data has been used to teach models to yield the desired output."
"ml:Machine_Learning_Algorithm:2     ml:algorithm_learning_style:2       Value:Unsupervised_Learnin","Value","Unsupervised_Learning","","","The algorithm has not received any labeled data and has discovered patterns on its own from untagged input."
"ml:Machine_Learning_Algorithm:2     ml:algorithm_type:1                ","Attribute","algorithm_type","n/a","ml","The algorithm_type attribute describes the kind of algorithm used, such as a regression, neural network, tree, or etc.","img","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"ml:Machine_Learning_Algorithm:2     ml:algorithm_type:2                 Value:Convolutional_Neural","Value","Convolutional_Neural_Network_Classifier","","","The algorithm used for image analysis is a Convolutional Neural Network (CNN) Classifier."
"ml:Machine_Learning_Algorithm:2     ml:algorithm_name:1                ","Attribute","algorithm_name","n/a","ml","The algorithm_name attribute specifies the name of the algorithm used.","img","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"ml:Machine_Learning:1              ","Class","Machine_Learning","1.0.0.0","ml","The Machine_Learning class is a container for all machine learning information in the label. ","img","","","","","","","","","","",""
